2026-05-09 13:16:56,506 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54174422: 90:25:020103:2862 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:57,101 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54175002: 90:25:020103:2877 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:57,792 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54175920: 90:25:020103:2886 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:58,367 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54180044: 90:25:020103:2889 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:58,920 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54180865: 90:25:020103:2892 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:16:59,630 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54182006: 90:25:020103:2901 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:17:00,229 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54182675: 90:25:020103:2910 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:17:00,868 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54183421: 90:25:020103:2917 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:17:01,667 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53841969: 90:25:020102:324 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:17:02,316 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53843935: 90:25:020102:325 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:17:02,903 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53843368: 90:25:020102:326 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:17:03,418 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53836062: 90:25:020103:356 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:17:03,987 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53842799: 90:25:000000:3899 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:17:04,602 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53831500: 90:25:020103:4918 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:17:05,123 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-54172672: 90:25:020102:685 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:17:05,708 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53841337: 90:25:020102:686 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:17:06,390 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53829841: 90:25:020103:748 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:17:35,514 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53834295: 90:25:020103:749 (building), прав: 2, ограничений объекта: 0
2026-05-09 13:17:36,976 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53839435: 90:25:020103:8056 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:17:37,601 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53838929: 90:25:020103:8057 (structure), прав: 1, ограничений объекта: 0
2026-05-09 13:17:38,136 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53840604: 90:25:020103:9278 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:17:38,762 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53830377: 90:25:020103:9283 (building), прав: 1, ограничений объекта: 0
2026-05-09 13:17:39,252 INFO egrn_parser.parsers.pdf_parser — ✓ Разобрана выписка КУВИ-001/2026-53817652: 90:25:020103:1331 (land), прав: 1, ограничений объекта: 0
